ano,pais_sede,campeao,vice_campeao
Brasil,"5 (1958,1962,1970,1994e2002)",2 (1950e1998),2 (1938e1978)
Alemanha[nota 3],"4 (1954,1974,1990e2014)","4 (1966,1982,1986e2002)","4 (1934,1970,2006e2010)"
Itália,"4 (1934,1938,1982e2006)",2 (1970e1994),1 (1990)
Argentina,"3 (1978,1986e2022)","3 (1930,1990e2014)",–
França,2 (1998e2018),2 (2006e2022),2 (1958e1986)
Uruguai,2 (1930e1950),–,–
Inglaterra,1 (1966),–,–
Espanha,1 (2010),–,–
Países Baixos,–,"3 (1974,1978e2010)",1 (2014)
Hungria,–,2 (1938e1954),–
Tchéquia[nota 4],–,2 (1934e1962),–
Suécia,–,1 (1958),2 (1950e1994)
Croácia,–,1 (2018),2 (1998e2022)
Polónia,–,–,2 (1974e1982)
Áustria,–,–,1 (1954)
Portugal,–,–,1 (1966)
Bélgica,–,–,1 (2018)
Estados Unidos,–,–,1 (1930)
Chile,–,–,1 (1962)
Turquia,–,–,1 (2002)
Sérvia[nota 5],–,–,–
Rússia[nota 6],–,–,–
Bulgária,–,–,–
Coreia do Sul,–,–,–
Marrocos,–,–,–
